category,source,repo_destination,filename,bytes,sha256,locked,note
verified_public,assets/VERIFIED/public/manifest.json,/public/manifest.json,manifest.json,1511,1b624d3f9e8c2266fdb0a738ee06ff7d687d778eb75d0b5c460eb3ee172d148d,YES,Install exact verified brand/PWA asset
xps_exact_chart,assets/color_charts/xps-concrete-dye-stain-colors.webp,/public/color-charts/xps-concrete-dye-stain-colors.webp,xps-concrete-dye-stain-colors.webp,177180,9eb4aa4b1f6a4b7c8bddae1b1a0cd05e73933079b6dafc44dbcad099bb827e3c,YES,Exact XPS chart required by locked asset manifest
xps_exact_chart,assets/color_charts/xps-solid-color-epoxy-base-coats.webp,/public/color-charts/xps-solid-color-epoxy-base-coats.webp,xps-solid-color-epoxy-base-coats.webp,96430,40fa02cbab0cd2277995952918477214d2ba26f7e1784a8848b9d1b034dff8e8,YES,Exact XPS chart required by locked asset manifest
xps_exact_chart,assets/color_charts/xps-top-flake-colors-approved.webp,/public/color-charts/xps-top-flake-colors-approved.webp,xps-top-flake-colors-approved.webp,324674,589a16f888a048a311ee7eaae2625ed08ec75e5fbc930ecbe5d915683a9db6c8,YES,Exact XPS chart required by locked asset manifest
xps_exact_chart,assets/color_charts/xps-top-glitter-additive-colors.webp,/public/color-charts/xps-top-glitter-additive-colors.webp,xps-top-glitter-additive-colors.webp,494996,3ecabf791ebddb6d609a7b845a97c301ed58ef3d2f136a020d3eb0f258218c62,YES,Exact XPS chart required by locked asset manifest
xps_exact_chart,assets/color_charts/xps-top-metallic-colors-standardized.webp,/public/color-charts/xps-top-metallic-colors-standardized.webp,xps-top-metallic-colors-standardized.webp,167112,c2a64957b1add04bb4abeff55a5099abc9b73423a7c6c74f14ccd0f8d87c83a3,YES,Exact XPS chart required by locked asset manifest
xps_exact_chart,assets/color_charts/xps-top-quartz-colors-standardized.webp,/public/color-charts/xps-top-quartz-colors-standardized.webp,xps-top-quartz-colors-standardized.webp,226810,0c564ba1262e12c3ff248b3c29fb0eeeb97dd085b808a81dc8ce0c3fd677fb4b,YES,Exact XPS chart required by locked asset manifest
approved_floor_image,assets/floor_images/nep-hero-flake-garage-sports-cars.png,/public/images/hero/nep-hero-flake-garage-sports-cars.png,nep-hero-flake-garage-sports-cars.png,3875619,0c1fc4d31c5a538a03781008fc5e4cfd7ab38cafa5ef99a9ac27654ddd337e8b,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-polished-concrete-commercial-lobby.png,/public/images/floor-systems/nep-polished-concrete-commercial-lobby.png,nep-polished-concrete-commercial-lobby.png,3023682,d0bcb0e5e1a77af5a53eb61d11c03bf510102f6a1578fa9d76669547147a3516,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-metallic-epoxy-luxury-lounge.png,/public/images/floor-systems/nep-metallic-epoxy-luxury-lounge.png,nep-metallic-epoxy-luxury-lounge.png,3614890,77aaeee9b1b026a695e529ac9dc2cfb8a2ce6b6dda763404499c5c5f95df1273,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-polished-concrete-retail.png,/public/images/floor-systems/nep-polished-concrete-retail.png,nep-polished-concrete-retail.png,3425096,10e378d31efa6cc97f975b2f082664b11624c753cac13d60346d17ba278d9086,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-decorative-concrete-countertop.png,/public/images/floor-systems/nep-decorative-concrete-countertop.png,nep-decorative-concrete-countertop.png,3638671,5d7402c2fcef487b7c9e20423f2997d94a836a8c4b5621df5ed82d20f6edf265,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-metallic-epoxy-residential.png,/public/images/floor-systems/nep-metallic-epoxy-residential.png,nep-metallic-epoxy-residential.png,2924995,604b9c359938c2790c429f64479fb25a9000bba243c5d0d9d891b2a02ab32e64,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-solid-color-commercial-epoxy.png,/public/images/floor-systems/nep-solid-color-commercial-epoxy.png,nep-solid-color-commercial-epoxy.png,4055940,2f76b1b318f2d7bde3c4fdc073d307b662baf6ae4e648df1a8974531227a05a2,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-exterior-patio-coating.png,/public/images/floor-systems/nep-exterior-patio-coating.png,nep-exterior-patio-coating.png,4192609,62234916c90fbb78342f438bf234fd9d694745bf17372477b192cab656acce54,YES,Locked role/aspect asset. Do not substitute without operator approval
approved_floor_image,assets/floor_images/nep-exterior-driveway-coating.png,/public/images/floor-systems/nep-exterior-driveway-coating.png,nep-exterior-driveway-coating.png,2317177,45960f2bbcdd53975a0c7b80f35f670437e2af9299a884e2695bf303257a5430,YES,Locked role/aspect asset. Do not substitute without operator approval
